index,Song-Name,Singer/Artists,Genre,Movie,User-Rating
81,Tera Fitoor,Arijit Singh,BollywoodRomantic,Genius,9.4/10
82,Mere Rashke Qamar,"Nusrat Fateh Ali Khan, Rahat Fateh Ali Khan",BollywoodRomantic,Baadshaho,9.0/10
83,The Breakup Song,"Arijit Singh, Badshah, Jonita Gandhi, Nakash Aziz",BollywoodDance,Ae Dil Hai Mushkil,9.0/10
84,Naino Ne Bandhi,Yasser Desai,BollywoodRomantic,Gold,9.6/10
85,Sanu Ek Pal Chain,Rahat Fateh Ali Khan,BollywoodRomantic,Raid,9.3/10
86,Ban Ja Rani,Guru Randhawa,BollywoodDanceRomantic,Tumhari Sulu,9.0/10
87,Zaalima,"Arijit Singh, Harshdeep Kaur",BollywoodDanceRomantic,Raees,9.2/10
88,Baarish,"Ash King, Shashaa Tirupati",BollywoodRomantic,Half Girlfriend,9.3/10
89,Aashiq Banaya Aapne,"Himesh Reshammiya, Neha Kakkar",BollywoodDance,Hate Story 4,9.1/10
90,Ek Do Teen Song,Shreya Ghoshal,BollywoodDance,Baaghi 2,8.6/10
91,Tere Liye,"Akanksha Bhandari, Atif Aslam",BollywoodRomantic,Namaste England,9.5/10
92,Nazam Nazam,"Arko, Ayushman Khurana",BollywoodRomance,Bareilly Ki Barfi,9.5/10
93,Good Morning,"Shannon Donald, Vishal Dadlani",Bollywood,Ek Ladki Ko Dekha Toh Aisa Laga,9.0/10
94,O Saathi,"Atif Aslam, Payal Dev",BollywoodRomantic,Baaghi 2,9.4/10
95,Tere Jaisa,"Arko, Tulsi Kumar",BollywoodRomantic,Satyameva Jayate,9.2/10
96,Mera Intkam Dekhegi,Krishna Beuraa,BollywoodSad,Shaadi Mein Zaroor Aana,9.6/10
97,Gerua,"Antara Mitra, Arijit Singh",BollywoodRomantic,Dilwale,9.3/10
98,Suraiyya,"Shreya Ghoshal, Vishal Dadlani",BollywoodDance,Thugs of Hindostan,7.7/10
99,Gold Tamba,Nakash Aziz,BollywoodDance,Batti Gul Meter Chalu,9.2/10
100,Ae Dil Hai Mushkil,Arijit Singh,BollywoodSad,Ae Dil Hai Mushkil,9.3/10
101,Prem Ratan Dhan Payo,Palak Muchhal,BollywoodDanceRomantic,Prem Ratan Dhan Payo,7.7/10
102,Mohabbat,Sunidhi Chauhan,BollywoodDance,Fanney Khan,9.0/10
103,Nainowale Ne,Neeti Mohan,BollywoodRomantic,Padmaavat,9.5/10
104,Mummy Kasam,"Gurinder Seagal, Payal Dev",BollywoodDance,Nawabzaade,9.4/10
105,Nasha,Amit Gupta,BollywoodSensual,Game Paisa Ladki,9.0/10
106,Bulleya,"Amit Mishra, Shilpa Rao",BollywoodDanceSad,Ae Dil Hai Mushkil,9.2/10
107,Kar Gayi Chull,"Badshah, Fazilpuria, Neha Kakkar, Sukriti Kakar",BollywoodDance,Kapoor & Sons,9.0/10
108,Musafir,"Atif Aslam, Palak Muchhal",BollywoodSad,Sweetiee Weds NRI,9.4/10
109,Binte Dil,Arijit Singh,BollywoodDance,Padmaavat,9.4/10
110,Halka Halka,"Divya Kumar, Sunidhi Chauhan",BollywoodRomantic,Fanney Khan,9.1/10
111,Humsafar,"Akhil Sachdeva, Mansheel Gujral",BollywoodRomanticSad,Badrinath Ki Dulhania,9.3/10
112,Chad Gayi Hai,"Jigar, Sachin Sanghvi, Vishal Dadlani",BollywoodDance,Gold,9.2/10
113,Tum Mere Ho,"Amrita Singh, Jubin Nautiyal",BollywoodSensual,Hate Story 4,9.1/10
114,Bole Chudiyan,"Alka Yagnik, Amit Kumar, Kavita Krishnamurthy, Sonu Nigam, Udit Narayan",BollywoodDanceRomantic,Kabhi Khushi Kabhie Gham,9.0/10
115,Sawarne Lage,Jubin Nautiyal,BollywoodRomantic,Mitron,9.8/10
116,Chalti Hai Kya 9 Se 12,"Dev Negi, Neha Kakkar",BollywoodDance,Judwaa 2,8.9/10
117,Selfish,"Atif Aslam, Iulia Vantur",BollywoodRomantic,Race 3,6.8/10
118,Oonchi Hai Building,"Anu Malik, Neha Kakkar",BollywoodDance,Judwaa 2,8.9/10
119,Shikwa Nahin Kisi Se,Kumar Sanu,BollywoodSad,Naseeb,8.2/10
120,Sanam Re,Arijit Singh,BollywoodRomantic,Sanam Re,8.7/10
121,Dekha Hai Pehli Baar,"Alka Yagnik, S.P. Balasubrahmanyam",BollywoodDance,Saajan,8.2/10
122,Phir Bhi Tumko Chaahunga,"Arijit Singh, Shashaa Tirupati",BollywoodSad,Half Girlfriend,9.4/10
123,Suit Suit,"Arjun, Guru Randhawa",BollywoodDance,Hindi Medium,9.0/10
124,Nachange Saari Raat,"Meet Bros, Neeraj Shridhar, Tulsi Kumar",BollywoodDance,Junooniyat,8.9/10
125,Ishq Di Baajiyan,Diljit Dosanjh,BollywoodRomantic,Soorma,9.9/10
126,Hard Hard,"Mika Singh, Prakriti Kakar, Sachet Tandon",BollywoodDance,Batti Gul Meter Chalu,8.7/10
127,Udi Udi Jaye,"Bhoomi Trivedi, Karsan Sagathia, Sukhwinder Singh",BollywoodDance,Raees,8.9/10
