index,Song-Name,Singer/Artists,Genre,Movie,User-Rating
1247,Tere Dil Ka Rishta,Sonu Nigam,BollywoodRomantic,Koi Aap Sa,9.2/10
1248,Om Mangalam,"Nindy Kaur, RDB",BollywoodDance,Kambakkht Ishq,9.5/10
1249,Chhupana Bhi Nahin Aata,Vinod Rathod,BollywoodRomantic,Baazigar,9.2/10
1250,Hum Pyar Karne Wale,"Adnan Sami, Anuradha Paudwal, Udit Narayan",BollywoodRomantic,Dil,7.8/10
1251,Khwabon Khwabon,K.K. Suchitra,BollywoodDance,Force,9.4/10
1252,Yeh Haseen Vadiyan Yeh Khula Aasman,"A.R. Rahman, K. S. Chithra, S.P. Balasubrahmanyam",BollywoodRomantic,Roja,9.5/10
1253,Yeh Hawa Yeh Bata,Lata Mangeshkar,BollywoodDance,Ghazab,7.2/10
1254,Khulke Dulke,"Gippy Grewal, Harshdeep Kaur",BollywoodDance,Befikre,9.0/10
1255,Musu Musu,Shaan,BollywoodRomantic,Pyaar Mein Kabhi Kabhi,9.6/10
1256,Sajh Dhaj Ke,"Mika Singh, Pankaj Kapur",BollywoodDance,Mausam,9.4/10
1257,Dhiktana � 2,"Lata Mangeshkar, S.P. Balasubrahmanyam, Udit Narayan",BollywoodDance,Hum Aapke Hain Koun,8.2/10
1258,Pinky,"Mamta Sharma, Meet Bros Anjjan",BollywoodDance,Zanjeer,9.3/10
1259,Mujhe Kitna Pyar Hai Tumse,"Lata Mangeshkar, Mohammed Rafi",BollywoodRomantic,Dil Tera Deewana,8.8/10
1260,The Disco Song (Remix),"Benny Dayal, Salim Merchant, Shahid Mallaya, Sunidhu Chauhan, Udit Narayan",BollywoodDance,Student of the Year,9.5/10
1261,Yeh Ishq Hai Gunah,"Sukhwinder Singh, Sunidhi Chauhan",BollywoodRomantic,Madhoshi,8.0/10
1262,Kabhi Shaam Dhale,Lucky Ali,BollywoodDance,Sur,9.0/10
1263,In Lamhon Ke Daaman Mein,Javed Ali,BollywoodRomantic,Jodha Akbar,9.2/10
1264,Agar Main Kahoon,"Alka Yagnik, Udit Narayan",BollywoodRomantic,Lakshay,9.6/10
1265,Kaddu Katega,Antara Mitra,BollywoodDance,R... Rajkumar,8.9/10
1266,Ishaqzaade,"Javed Ali, Shreya Ghoshal",BollywoodDance,Ishaqzaade,9.4/10
1267,Race 2 (Mashup),Multiple,BollywoodDance,Race 2,9.3/10
1268,Allah Ke Bande,Kailash Kher,BollywoodSad,Waisa Bhi Hota Hai,9.6/10
1269,Aisa Jadoo,Sunidhi Chauhan,BollywoodDance,Khakee,9.2/10
1270,Saanson Ki Mala,Kavita Krishnamurthy,BollywoodDance,Koyla,8.7/10
1271,Mar Jayian,"Sunidhi Chauhan, Vishal Dadlani",Bollywood,Vicky Donor,9.6/10
1272,Prabhu Ji,Asees Kaur,BollywoodDevotional,High Jack,9.1/10
1273,Baby Doll (Remix),"Kanika Kapoor, Meet Bros",BollywoodDance,Ragini MMS 2,8.9/10
1274,Aa Tayar Hoja,Sunidhi Chauhan,BollywoodDance,Asoka,9.4/10
1275,Humko Pyaar Hua,"K.K., Tulsi Kumar",BollywoodRomantic,Ready,9.4/10
1276,Jugni Peeke Tight Hai,"Divya Kumar, Kanika Kapoor, Sukriti Kakkar",BollywoodDance,Kis Kisko Pyaar Karoon,9.1/10
1277,Mere Rang Mein Rangne Wali,"Asad Bhopali, S.P. Balasubrahmanyam",BollywoodRomantic,Maine Pyar Kiya,8.9/10
1278,Toh Phir Aao,Mustafa Zahid,BollywoodSad,Awarapan,9.3/10
1279,Ajnabi Mujhko Itna Bata,"Asha Bhosle, Jatin-Lalit, Udit Narayan",BollywoodRomantic,Pyaar To Hona Hi Tha,9.0/10
1280,Dil Dhadakne Do,"Joi Barua, Shankar Mahadevan, Suraj Jagan",Bollywood,Zindagi Na Milegi Dobara,9.5/10
1281,Tu Mere Paas,Ankit Tiwari,BollywoodSad,Wazir,9.6/10
1282,Dhat Teri Ki,"Aditi Singh Sharma, Sanam Puri",BollywoodDance,Dhat Teri Ki,9.5/10
1283,Der Se Aana Jaldi Jaana,"Alka Yagnik, Manhar Udhas",BollywoodDance,Khal Nayak,8.1/10
1284,Jazba,Shilpa Rao,BollywoodDance,,9.4/10
1285,Is This Love � Kahin Na Laage,"Mohit Chauhan, Shreya Ghoshal",BollywoodDance,Kismat Konnection,9.6/10
1286,Bol Radha Bol,Mukesh,BollywoodRomantic,Sangam,8.5/10
1287,Tu Hi Khwahish,Sunidhi Chauhan,BollywoodDance,Once Upon A Time In Mumbaai Dobara,9.3/10
1288,Chak De India,"Marianne D'Cruz, Salim Merchant, Sukhwinder Singh",BollywoodDance,Chak De India,9.4/10
1289,Ruk Ja O Dil Deewane,Udit Narayan,BollywoodRomantic,Dilwale Dulhania Le Jayenge,9.3/10
1290,Nanga Punga Dost,Shreya Ghoshal,BollywoodDance,PK,8.8/10
1291,Tanhayee,Sonu Nigam,BollywoodSad,Dil Chahta Hai,9.3/10
1292,Beat It Bijuriya,"Asees Kaur, Renesa Baadchi",BollywoodDance,Munna Michael,8.8/10
1293,Tum Saath Ho Jab Apne,"Asha Bhosle, Kishore Kumar",BollywoodDance,Kaalia,9.0/10
1294,Most Wanted Munda,"Earl Edgar, Meet Bros",BollywoodDance,Ki & Ka,9.3/10
1295,Mehram,Arijit Singh,BollywoodDance,Kahaani 2,9.1/10
1296,Naina,Rahat Fateh Ali Khan,BollywoodSad,Omkara,9.2/10
1297,Sab Kuchh Bhula Diya,"Sapna Awasthi, Sonu Nigam",BollywoodSad,Hum Tumhare Hain Sanam,8.7/10
1298,Ungli Pe Nachalein,"Dev Negi, Shipra Goyal",BollywoodDance,Ungli,9.3/10
1299,Do Me A Favour Let�s Play Holi,"Anu Malik, Sunidhi Chauhan",BollywoodDance,Waqt- The Race Against Time,8.7/10
1300,Aise Na Mujhe Tum Dekho,Kishore Kumar,BollywoodRomantic,Darling Darling,9.3/10
1301,Kahin Door Jab Din Dhal Jaye,Mukesh,BollywoodRomantic,Anand,9.4/10
1302,Gilehriyaan,Jonita Gandhi,Bollywood,Dangal,9.5/10
1303,Tanha Tanha Yahan Pe Jeena,Asha Bhosle,BollywoodDance,Rangeela,9.0/10
1304,Khwahishein,Shreya Ghoshal,BollywoodRomantic,Heroine,9.7/10
1305,Zindagi Kaisi Hai Paheli,Manna Dey,BollywoodDance,Anand,9.3/10
1306,Sachi Muchi,"Harshdeep Kaur, Mohit Chauhan",BollywoodDance,Sultan,8.7/10
1307,Saawli Saloni Teri,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Hum Sub Chor Hain,8.7/10
1308,Soniye,"K.K., Sunidhi Chauhan",BollywoodRomantic,Aksar,9.3/10
1309,Koi Yeh Kaise Bataye,Jagjit Singh,BollywoodSad,Arth,9.4/10
1310,Dekho Nashe Mein,"K.K., Shaan, Sunidhi Chauhan",BollywoodDance,Race,9.3/10
1311,Mein Sharabi,Yo Yo Honey Singh,BollywoodDance,Cocktail,9.3/10
1312,Ho Sarkay Leo Khattiya Jada Lage,"Kumar Sanu, Poornima",BollywoodRomantic,Raja Babu,8.0/10
1313,Nadiya Chale Chale Re Dhara,Manna Dey,BollywoodDance,Safar,8.6/10
1314,Khatam Kahani,"Jyoti Nooran, Sultana Nooran, Vishal Mishra",Bollywood,Qarib Qarib Single,8.8/10
1315,Jiya Jale,"Lata Mangeshkar, M.G. Sreekumar",BollywoodDance,Dil Se,9.4/10
1316,Manva Likes To Fly,Shalmali Kholgade,BollywoodDance,Tumhari Sulu,8.8/10
1317,Aashayein,"KK, Salim Merchant",BollywoodMotivational,Iqbal,9.5/10
1318,Aur Kya,Abhijeet,BollywoodDanceRomance,,9.5/10
1319,Aisa Kyoon Hota Hai,Alka Yagnik,BollywoodRomantic,Ishq Vishk,9.3/10
1320,Aaja Shaam Hone Aayi,"Lata Mangeshkar, S.P. Balasubrahmanyam",BollywoodDance,Maine Pyar Kiya,8.7/10
1321,Cocktail Mashup,Multiple,BollywoodDance,Cocktail,9.5/10
1322,Teri Mehfil Mein Kismat Azmakar,"Lata Mangeshkar, Shamshad Begum.",BollywoodDance,Mughal-E-Azam,8.9/10
1323,Pandey Jee Seeti,"Mamta Sharma, Shreya Ghoshal, Wajid",BollywoodDance,Dabangg 2,8.7/10
1324,Ye Jawaani Teri,"Jonita Gandhi, Nakash Aziz",BollywoodDance,Meri Pyaari Bindu,9.4/10
1325,Ghar Aaja Pardesi,,BollywoodDance,Dilwale Dulhania Le Jayenge,8.5/10
1326,Kitaben Bahut Si,"Asha Bhosle, Vinod Rathod",BollywoodDance,Baazigar,8.8/10
1327,Jahan Teri Yeh Nazar Hai,Kishore Kumar,BollywoodDance,Kaalia,9.3/10
1328,Namak Paare,"Anupam Amod, Mamta Sharma",BollywoodDance,Raja Natwarlal,9.3/10
1329,Nazdeekiyan,"Neeti Mohan, Nikhil Paul George",BollywoodRomantic,Shaandaar,9.6/10
1330,Jhumritalaiyya,"Arijit Singh, Mohan Kanan",BollywoodDance,Jagga Jasoos,9.3/10
1331,Pyar Dilon Ka Mela Hai,"Alka Yagnik, Sonu Nigam",BollywoodDanceRomantic,Dulhan Hum Le Jaayenge,9.1/10
1332,Aap Ki Ankhon Mein Kuch,"Kishore Kumar, Lata Mangeshkar",BollywoodRomantic,Ghar,9.2/10
1333,Haawa Haawa,Mohit Chauhan,BollywoodDance,Rockstar,9.5/10
1334,Baatein Ye Kabhi Na (Female),Palak Muchhal,BollywoodRomantic,Khamoshiyan,9.5/10
1335,Lakh Lakh,Neeraj Shridhar,BollywoodDance,Kambakkht Ishq,9.1/10
1336,Yari Hai Imaan Mera,Manna Dey,BollywoodDance,Zanjeer,8.6/10
1337,O Mere Sanam,"Lata Mangeshkar, Mukesh",BollywoodSad,Sangam,8.3/10
1338,Daag,Sukhwinder Singh,BollywoodSad,Bhoomi,9.5/10
1339,Koi Kahe Kehta Rahe,"K.K., Shaan, Shankar Mahadevan",BollywoodDance,Dil Chahta Hai,9.4/10
1340,Mere Khayalon Ki Malika,Abhijeet,BollywoodRomance,Josh,9.4/10
1341,Krazzy 4,Vishal Dadlani,BollywoodDance,Krazzy 4,9.3/10
1342,Sun Zara,Adnan Sami,BollywoodRomantic,Lucky,9.4/10
1343,Zinda Rehti Hain Mohabbatein,"Lata Mangeshkar, Udit Narayan",BollywoodSad,Mohabbatein,9.5/10
1344,Titliyan,Sunidhi Chauhan,BollywoodDance,Rocky Handsome,9.3/10
1345,Jeete Hain Chal,Kavita Seth,BollywoodSad,Neerja,9.6/10
1346,Hum Tum,"Alka Yagnik, Babul Supriyo",BollywoodRomantic,Hum Tum,9.4/10
1347,Yun Hi Chala Chal,"Hariharan, Kailash Kher, Udit Narayan",BollywoodDance,Swades,9.4/10
1348,Dooriyan,Mohit Chauhan,BollywoodSad,Love Aj Kal,9.4/10
1349,Yeh Hum Aa Gaye Hain Kahaan,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Veer Zaara,9.4/10
1350,Yaar Na Miley (Remix),"Jasmine Sandlas, Yo Yo Honey Singh",BollywoodDance,Kick,9.0/10
1351,Yaar Naa Miley (Remix),"Jasmine Sandlas, Yo Yo Honey Singh",BollywoodDance,Kick,9.0/10
1352,Joganiyan,Shruti Haasan,BollywoodRomantic,Tevar,9.6/10
1353,Huzur Is Kadar,"Bhupinder Singh, Suresh Wadkar",BollywoodDance,Masoom,9.4/10
1354,Aye Zindagi Gale Lagaa Le,Suresh Wadkar,BollywoodRomantic,Sadma,9.2/10
1355,Surmayee Ankhiyon Mein,"Ilaiyaraaja, K.J. Yesudas",BollywoodRomantic,Sadma,9.2/10
1356,Meri Ada Bhi,"Rahat Fateh Ali Khan, Tulsi Kumar",BollywoodDanceRomantic,Ready,9.3/10
1357,Waada Raha Sanam,"Abhijeet, Alka Yagnik",BollywoodDanceRomantic,Khiladi,9.3/10
1358,Tumse Hi Tumse,"Caralisa Monteiro, Shekhar Ravjiani",BollywoodRomantic,Anjaana Anjaani,9.6/10
1359,"Gori Ka Sajan, Sajan Ki Gori","Mohammad Aziz, S. Janaki",BollywoodDance,Aakhree Raasta,8.6/10
1360,Falak Dekhun,Sonu Nigam,BollywoodDance,Garam Masala,9.2/10
1361,Shikdum,"Shaan, Shreya Ghoshal",BollywoodDanceRomantic,Dhoom,9.2/10
1362,Bezubaan,K.K.,BollywoodRomantic,Laali Ki Shaadi Mein Laaddoo Deewana,8.5/10
1363,Mere Bina Tu (Duet Version),"Harshdeep Kaur, Pritam",BollywoodSad,Phata Poster Nikhla Hero,9.4/10
1364,Alisha,"Anushka Manchanda, Salim Merchant",BollywoodDance,Pyaar Impossible,9.4/10
1365,Aaj Kal Yaad Kuch Aur Rehta Nahin,Mohammad Aziz,BollywoodRomantic,Nagina,8.2/10
1366,Dil Kho Gaya,"Anuradha Paudwal, Udit Narayan",BollywoodRomantic,Dil,8.4/10
1367,Sun Soniye,"Antara Mitra, Mohammed Irfan",BollywoodRomantic,Ajab Gazabb Love,9.5/10
1368,Baadal,Sunidhi Chauhan,BollywoodSad,Akira,9.5/10
1369,Ae Mere Humsafar,"Alka Yagnik, Vinod Rathod",BollywoodRomantic,Baazigar,8.9/10
1370,Idhar Chala Mein Udhar Chala,"Alka Yagnik, Udit Narayan",BollywoodDance,Koi Mil Gaya,9.2/10
1371,Kise Dhoondta Hai Pagal Sapare,Anuradha Paudwal,BollywoodDance,Nigahen,7.2/10
1372,Mere Dushman Mere Bhai,Hariharan,BollywoodSad,Border,9.2/10
1373,Aye Meri Zohra Jabeen,Manna Dey,BollywoodDance,Waqt,9.0/10
1374,Aye Dil Laaya Hai Bahaar,"Hariharan, Kavita Krishnamurthy",BollywoodDance,Kya Kehna,9.4/10
1375,Bad Baby,"Badshah, Gippy Grewal",BollywoodDance,Second Hand Husband,8.7/10
1376,Dil Kyun Yeh Mera,K.K.,BollywoodRomantic,Kites,9.5/10
1377,Tum Se Milke,"Asha Bhosle, Suresh Wadkar",BollywoodRomantic,Parinda,9.4/10
1378,Dhup Chik,"Badshah, Raftaar",BollywoodDance,Fugly,9.3/10
1379,Aadha Ishq,"Natalie Di Luccio, Shreya Ghoshal",BollywoodRomantic,Band Baaja Baaraat,9.6/10
1380,Pink Lips (Remix),Khushboo Grewal,BollywoodDance,Hate Story 2,9.0/10
1381,Paathshaala,"Blaaze, Mohammed Aslam, Naresh Iyer",BollywoodDance,Rang De Basanti,9.6/10
1382,Ala Barfi,Mohit Chauhan,BollywoodDance,Barfi,9.6/10
1383,Kudi Tu Butter,Yo Yo Honey Singh,BollywoodDance,Bajatey Raho,9.4/10
1384,Churiyan Kanak Gayee,"Ila Arun, Lata Mangeshkar, Moinuddin Manchala",BollywoodDance,Lamhe,8.9/10
1385,Kapoor & Sons (Mashup),Multiple,BollywoodDance,Kapoor & Sons,9.4/10
1386,Mujhse Dosti Karoge,"Alka Yagnik, Asha Bhosle, Udit Narayan",BollywoodRomantic,Mujhse Dosti Karoge!,9.1/10
1387,Hum To Dil Se Haare,"Alka Yagnik, Udit Narayan",BollywoodSad,Josh,9.1/10
1388,Soniye,K.K.,BollywoodRomantic,Heartless,9.7/10
1389,Albela Sajan,"Kavita Krishnamurthy, Shankar Mahadevan, Ustad Sultan Khan",BollywoodDance,Hum Dil De Chuke Sanam,9.2/10
1390,Ehsan Tera Hoga Mujh Par,Mohammed Rafi,BollywoodRomantic,Junglee,9.6/10
1391,Rola Pe Gaya,"Earl D'Souza, Hard Kaur, Mahadevan, Mahalakshmi Iyer, Master Saleem, Shankar",BollywoodDance,Patiala House,9.3/10
1392,Bande Mein Tha Dum� Vande Mataram,"Pranab Biswas, Shreya Ghoshal, Sonu Nigam",BollywoodDance,Lage Raho Munna Bhai,9.4/10
1393,Jawani Janeman,Asha Bhosle,BollywoodDance,Namak Halaal,9.1/10
1394,Yahi Hota Pyaar,"Himesh Reshammiya, Sunidhi Chauhan",BollywoodSad,Namastey London,9.3/10
1395,Jawani Janeman,Asha Bhosle,BollywoodDance,Namak Halaal,9.1/10
1396,Aa Aa E Ooh Ooh Ooh Mera Dil Na Todo,Abhijeet,BollywoodDance,Raja Babu,8.9/10
1397,Main To Raste Se Ja Raha Tha,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Coolie No. 1,9.0/10
1398,Awaarapan Banjarapan,M. M. Keeravani,BollywoodDance,Jism,9.4/10
1399,Yeh Raat Aur Yeh Doori,"Asha Bhosle, S.P. Balasubrahmanyam",BollywoodDance,Andaz Apna Apna,9.3/10
1400,Mere Dil Jigar Se Guzree Hai,"Alka Yagnik, Kumar Sanu",BollywoodDance,Soldier,8.5/10
1401,Yeh Dil Jo Hai Badmaash Hai,"Mohit Chauhan, Monali Thakur, Shreya Ghoshal",BollywoodDance,Phir Se,9.4/10
1402,Saawali Si Raat,Arijit Singh,BollywoodRomantic,Barfi,9.8/10
1403,Aaankhein Milayenge Darr Se,"K. Mohan, Neha Bhasin",BollywoodDance,Neerja,9.6/10
1404,Ishq Vishq,"Kamaal khan, Sunidhi Chauhan, Suzanne D'Mello",BollywoodRomantic,Wanted,9.2/10
1405,Hoshwalon Ko Khabar Kya,Jagjit Singh,BollywoodSad,Sarfarosh,9.4/10
1406,Ghoomar,"K.K., Sunidhi Chauhan",BollywoodDance,Chup Chup Ke,9.0/10
1407,Dil Mere,Kumar Sanu,BollywoodDance,Sooryavansham,9.0/10
1408,Mujhe Haq Hai,"Shreya Ghoshal, Udit Narayan",BollywoodRomantic,Vivah,9.0/10
1409,Musafir,Tushar Joshi,BollywoodRomantic,Jagga Jasoos,9.5/10
1410,Chalak Chalak,"Shreya Ghoshal, Udit Narayan, Vinod Rathod",BollywoodDance,Devdas,9.4/10
1411,Subah Subah,"Shekhar Ravjiani, Vishal Dadlani, Zubeen Garg",BollywoodDance,I See You,9.5/10
1412,Pyar Kar,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Dil To Pagal Hai,9.3/10
1413,O Jaana Na Jaana,"Kumar Sanu, Lata Mangeshkar",BollywoodRomantic,Jab Pyar Kisisi Se Hota Hai,9.3/10
1414,Mhare Hiwra Main Nache Mor,"Alka Yagnik, Anuradha Paudwal, Hariharan, Kavita Krishnamurthy, Kumar Sanu, Udit Narayan",BollywoodDance,Hum Saath-Saath Hain,8.6/10
1415,Raitaa Phail Gayaa,Divya Kumar,BollywoodDance,Shaandaar,9.2/10
1416,Tere Bina,Rahat Fateh Ali Khan,BollywoodRomantic,Tezz,9.2/10
1417,Sava Dollar (Lavni),Sunidhi Chauhan,BollywoodDance,Aiyyaa,9.1/10
1418,Baba Meri Yeh Jawani,Falguni Pathak,BollywoodDance,Ghaath,8.6/10
1419,Deewana Main Chala,Udit Narayan,BollywoodDance,Pyaar Kiya To Darna Kya,9.2/10
1420,Zindagi Ki Yahi Reet Hai,Kishore Kumar,BollywoodDance,Mr. India,9.1/10
1421,Chak De,"Sadhana Sargam, Sonu Nigam",BollywoodDance,Hum Tum,9.3/10
1422,Sirf Tum,"Anuradha Paudwal, Hariharan",BollywoodDance,Sirf Tum,8.6/10
1423,Chhaliya,"Piyush Mishra, Sunidhi Chauhan",Bollywood,Tashan,9.4/10
1424,Dum Dum Diga Diga,Mukesh,BollywoodDance,Chhalia,9.2/10
1425,Aankhon Ne Tumhari,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Ishq Vishk,9.3/10
1426,Janam Janam,Atif Aslam,Bollywood,Phata Poster Nikhla Hero,9.6/10
1427,Tanha Tanha,"Aditi Paul, Jubin Nautiyal",BollywoodRomantic,Dil Jo Na Keh Saka,9.0/10
1428,Heer,"Mahalakshmi, Mika Singh",BollywoodRomantic,Baa Baaa Black Sheep,8.0/10
1429,Wat Wat Wat,"Arijit Singh, Shashwat Singh",BollywoodDance,Tamasha,9.5/10
1430,Tanha Tanha Ghum Ke Dhunde Dil,"Aditi Paul, Jubin Nautiyal",BollywoodRomantic,Dil Jo Na Keh Saka,9.0/10
1431,Pyar Ki Raahen,Shaan,BollywoodSad,Bewafaa,9.4/10
1432,Aap Ki Khatir,Himesh Reshammiya,BollywoodRomantic,Aap Ki Khatir,9.3/10
1433,Saat Rang Mein Khel Rahi Hain,"Amit Kumar, Anuradha Paudwal",BollywoodDance,Aakhir Kyon,7.8/10
1434,Jaadoo Jaadoo,"Adnan Sami, Alka Yagnik",BollywoodDance,Koi Mil Gaya,8.2/10
1435,Yaadon Mein,"Cuca Roseta, Jonita Gandhi, Mohammed Irfan",BollywoodSad,Jab Harry Met Sejal,9.6/10
1436,Dil Deewana Bin Sajna Ke,S.P. Balasubrahmanyam,BollywoodDance,Maine Pyar Kiya,9.0/10
1437,Chori Chori Chupke Chupke,"Alka Yagnik, Babul Supriyo",BollywoodDance,Chori Chori Chupke Chupke,8.8/10
1438,Behene De,"Karthik, Mohammed Irfan",BollywoodDance,Raavan,9.3/10
1439,O Re Kanchi,"Alka Yagnik, Shaan",BollywoodDance,Asoka,9.4/10
1440,Rasiya,Shruti Pathak,BollywoodSensual,Kurbaan,8.5/10
1441,Meri Zindagi Ek Pyaas,"Jaspinder Narula, Shankar Mahadevan",BollywoodSad,Judaai,8.6/10
1442,Tum Jo Aaye,Rahat Fateh Ali Khan,BollywoodRomantic,Once Upon A Time In Mumbai,9.4/10
1443,Laal Ishq,Arijit Singh,BollywoodSad,Goliyon Ki Rasleela Ram-leela,9.5/10
1444,Tujhe Jeevan Ki Dor Se,"Lata Mangeshkar, Mohammed Rafi",BollywoodRomantic,Asli Naqli,9.0/10
1445,Aao Bachho Tumhe Dikhaye,Kavi Pradeep,BollywoodPatriotic,Jagriti,9.3/10
1446,Mujhse Mohabbat Ka,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Hum Hain Rahi Pyaar Ke,8.8/10
1447,Mujhe Pyaar Hua,"Abhijeet, Alka Yagnik",BollywoodDance,Judaai,7.7/10
1448,Satarangi Re,"Kavita Krishnamurthy, Sonu Nigam",BollywoodDance,Dil Se,9.4/10
1449,Mann Ki Lagan,Rahat Fateh Ali Khan,BollywoodSad,Paap,9.2/10
1450,Dil Na Jaane Kyun,"Anushka Manchanda, Atif Aslam",BollywoodDance,Jayantabhai Ki Luv Story,9.5/10
1451,Usne Bola Kem Che,"Bali Brahmbhatt, Sunidhi Chauhan",BollywoodDance,Jis Desh Main Ganga Rehta Hai,8.9/10
1452,Sajna Ve Sajna,Sunidhi Chauhan,BollywoodDance,Chameli,9.4/10
1453,Mera Yaar,Javed Bashir,BollywoodRomantic,Bhaag Milkha Bhaag,9.5/10
1454,Jiyein Kyun,Papon,BollywoodSad,Dum Maaro Dum,9.7/10
1455,Dil Ki Hai Tamanna,"Neha Bhasin, Shalini Singh, Vijay Prakash",BollywoodDance,Force,9.6/10
1456,Dum Duma Dum,"Anuradha Paudwal, Udit Narayan",BollywoodDance,Dil,8.7/10
1457,Dil Chahta Hai,Shankar Mahadevan,BollywoodDance,Dil Chahta Hai,9.5/10
1458,Aai Pappi � Tu Hai Meri Soniye,Neeraj Shridhar,BollywoodDance,Kismat Konnection,9.5/10
1459,Where�s the Party Tonight,"Loy Mendonsa, Shaan, Shankar Mahadevan, Vasundhara Das",BollywoodDance,Kabhi Alvida Naa Kehna,9.3/10
1460,Prem Jaal Mein,"Anuradha Sriram, Sukhwinder Singh",BollywoodDanceRomantic,Jis Desh Mein Ganga Rehta Hai,8.7/10
1461,Boi Boi,"Arun Bakshi, Vinod Rathod",BollywoodDance,Laadla,8.4/10
1462,Jeevan Se Bhari Teri Ankhen,Kishore Kumar,BollywoodRomantic,Safar,9.1/10
1463,Teri Pyari Pyari Soorat Ko,Mohammed Rafi,BollywoodRomantic,Sasural,9.1/10
1464,Bas Ek Kinng,"Hard Kaur, Jaaved Jaffrey, Neeraj Shridhar",BollywoodDance,Singh Is Kingh,9.3/10
1465,Jeena Yahan Marna Yahan,Mukesh,BollywoodSad,Mera Naam Joker,8.8/10
1466,Banarasiya,"Anwesshaa, Meenal Jain, Shreya Ghoshal",BollywoodRomantic,Raanjhanaa,9.3/10
1467,What�s Going On?,"Kunal Ganjawala, Sunidhi Chauhan",BollywoodDance,Salaam Namaste,9.5/10
1468,Aye Watan Aye Watan,"Jaspinder Narula, Sukhwinder Singh, Udit Narayan",BollywoodPatriotic,Hindustan Ki Kasam,8.9/10
1469,Dulhan Hum Le Jayenge,"Alka Yagnik, Kumar Sanu, Sunita Rao",BollywoodRomantic,Dulhan Hum Le Jayenge,8.6/10
1470,Aa Bhi Ja Sanam,Atif Aslam,BollywoodSad,Prince,9.4/10
1471,Salaam Namaste,"Kunal Ganjawala, Vasundhara Das",BollywoodDance,Salaam Namaste,9.2/10
1472,Mar Jaava,"Merchant, Shruti Pathak",BollywoodSensual,Faraar,9.5/10
1473,Koi Jaye To Le Aaye,"Alka Yagnik, Anu Malik, Shankar Mahadevan",BollywoodDance,Ghatak,9.0/10
1474,Tumhi Dekho Naa,"Alka Yagnik, Sonu Nigam",BollywoodRomantic,Kabhi Alvida Naa Kehna,9.7/10
1475,Sau Dard,"Sonu Nigam, Suzanne",BollywoodSad,Jaan-E-Mann,9.6/10
1476,Piya Milenge,Sukhwinder Singh,BollywoodSad,Raanjhanna,9.4/10
1477,Chandan Sa Badan,Mukesh,BollywoodRomantic,Saraswatichandra,9.1/10
1478,Kyun (Duet),"Shaan, Shreya Ghoshal",BollywoodSad,Kambakkht Ishq,9.4/10
1479,Alcoholic,Yo Yo Honey Singh,BollywoodDance,The Shaukeens,9.2/10
1480,Jis Gali Mein Tera Ghar,Mukesh,BollywoodRomantic,Kati Patang,8.9/10
1481,Kurbaan Hua,Vishal Dadlani,BollywoodDance,Kurbaan,9.7/10
1482,Nagada Nagada,"Javed Ali, Sonu Nigam",BollywoodDance,Jab We Met,9.2/10
1483,Main Tujhse Pyaar Nahin Karta,Papon,BollywoodSad,Baby,9.4/10
1484,Ishq Tera,"Shreya Ghoshal, Sonu Nigam",BollywoodRomantic,Ishq Tera,9.4/10
1485,Oh Jaaniya,"Raj Pandit, Salim Merchant, Shreya Ghoshal",BollywoodRomantic,Wedding Pullav,9.6/10
1486,Jab Kisiki Taraf Dil,Kumar Sanu,BollywoodRomantic,Pyaar To Hona Hi Tha,9.3/10
1487,Aye Meri Zindagi � Male Version,"Shreya Ghoshal, Udit Narayan",BollywoodSad,Saaya,9.1/10
1488,Jiya Lage Na,"Ravindra Upadhyay, Sona Mohapatra",BollywoodRomantic,Talaash,9.3/10
1489,Paas Woh Aane Lage,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Main Khiladi Tu Anari,8.8/10
1490,Jaane Tere Shehar Ka,Vipin Aneja,Bollywood,Jazbaa,9.7/10
1491,Pee Paa Pee Paa,Diljit Dosanjh,BollywoodDance,Tere Naal Love Ho Gaya,9.4/10
1492,Ada,Sonu Nigam,BollywoodDance,Garam Masala,9.3/10
1493,Chupke Chupke Ghoor Na Mujhko,"Anu Malik, Udit Narayan, Vinod Rathod",Bollywood,The Gambler,8.0/10
1494,Pag Ghungaru Bandh,Kishore Kumar,BollywoodDance,Namak Halaal,8.5/10
1495,Dekho Zara Kaise Balkhake Chali,Gurdas Maan,BollywoodDance,Sirf Tum,8.0/10
1496,Aap Ki Kashish,Himesh Reshammiya,BollywoodRomantic,Aashiq Banaya Aapne,9.4/10
1497,Happy Budday,"Shankar Mahadevan, Sukhwinder Singh",BollywoodDance,Kill Dil,9.2/10
1498,Hudd Hudd Dabangg,"Sukhwinder Singh, Wajid",BollywoodDance,Dabangg,9.1/10
1499,Bhool Bhulaiyaa,Neeraj Shridhar,BollywoodDance,Bhool Bhulaiyaa,9.3/10
